I
810 Version - Generated using navigation.airportediting.com

2 57.08382034  57.08382034  0  398000  25 0.0 GL  AALBORG
2 56.3186264  56.3186264  0  324000  20 0.0 ML  AARHUS
2 56.28795242  56.28795242  0  374000  20 0.0 TU  AARHUS
2 68.72318268  68.72318268  0  336000  25 0.0 AA  AASIAAT
2 53.76666641  53.76666641  0  360000  80 0.0 AK  ABAKAN
2 53.69833374  53.69833374  0  360000  80 0.0 AB  ABAKAN
2 30.06113815  30.06113815  0  230000  50 0.0 BNZ  ABBEVILLE
2 49.01544571  49.01544571  0  344000  50 0.0 XX  ABBOTSFORD
2 0.5  0.5  108  396000  25 0.0 AA  ABEMAMA
2 57.13833237  57.13833237  0  336000  15 0.0 AQ  ABERDEEN
2 39.53586197  39.53586197  0  349000  50 0.0 APG  ABERDEEN
2 57.07751389  57.07751389  0  348000  15 0.0 ATF  DYCE (ABERDEEN)
2 52.11633301  52.11633301  0  370000  20 0.0 AP  ABERPORTH
2 19.21528053  19.21528053  200  341000  50 0.0 PM1  ABKATUM
2 19.27333641  19.27333641  200  350000  50 0.0 PM2  ABKATUM
2 25.89999962  25.89999962  229  290000  25 0.0 AB  ABQAIQ
2 40.16011047  40.16011047  0  329000  50 0.0 AAA  ABRAHAM
2 -17.96450043  -17.96450043  0  290000  75 0.0 AV  ABROLHOS
2 9.02803707  9.02803707  0  321000  25 0.0 AG  ABUJA
2 25.87780571  25.87780571  23  285000  25 0.0 ABM  ABUMUSA
2 33.33528519  33.33528519  0  264000  75 0.0 ABD  ABYAD
2 29.95627785  29.95627785  0  269000  50 0.0 AR  ACADI
2 9.55169392  9.55169392  640  225000  25 0.0 AGV  ACARIGUA
2 37.57030487  37.57030487  0  336000  50 0.0 BDB  ACCOMACK
2 5.67617178  5.67617178  0  409000  50 0.0 AA  ACCRA
2 56.27222061  56.27222061  899  420000  80 0.0 NZ  ACHINSK
2 38.51985931  38.51985931  0  350000  50 0.0 CP  ACORE
2 48.87385941  48.87385941  0  378000  50 0.0 AP  ACTIVE
2 -34.78952789  -34.78952789  174  395000  40 0.0 ASI  ADAMI
2 13.07133293  13.07133293  0  345000  50 0.0 BGI  ADAMS
2 36.97083282  36.97083282  0  395000  50 0.0 ADA  ADANA
2 8.99737167  8.99737167  7822  333000  50 0.0 AB  ADDIS
2 8.99884701  8.99884701  0  352000  150 0.0 BL  ADDIS
2 34.23233414  34.23233414  0  400000  50 0.0 AI  ADDMO
2 -34.94638824  -34.94638824  20  362000  85 0.0 AD  ADELAIDE
2 12.87027836  12.87027836  0  361000  200 0.0 AD  ADEN
2 37.72416687  37.72416687  2215  381000  50 0.0 KHD  ADIYAMAN
2 27.78527832  27.78527832  0  340000  125 0.0 ADR  ADRAR
2 41.86997223  41.86997223  0  278000  50 0.0 ADG  ADRIAN
2 78.17681122  78.17681122  0  326000  25 0.0 ADV  ADVENT
2 1.39833903  1.39833903  935  233000  50 0.0 AG  AEK
2 -34.54641724  -34.54641724  20  280000  25 0.0 P  AEROPARQUE
2 -34.5201149  -34.5201149  53  260000  25 0.0 OP  AEROPARQUE
2 -34.58491516  -34.58491516  37  375000  25 0.0 N  AEROPARQUE
2 -22.86697197  -22.86697197  112  270000  50 0.0 AFS  AFONSOS
2 38.80389023  38.80389023  0  324000  50 0.0 KFK  AFYON
2 16.95633316  16.95633316  1716  340000  25 0.0 AS  AGADES
2 30.32361031  30.32361031  0  402000  50 0.0 AML  AGADIR
2 30.32027817  30.32027817  0  396000  50 0.0 ALS  AGADIR
2 -10.36666679  -10.36666679  0  429000  50 0.0 AGG  AGALEGA
2 23.88734627  23.88734627  0  237000  50 0.0 AT  AGARTALA
2 10.83161068  10.83161068  13  360000  100 0.0 AT  AGATTI
2 44.67599869  44.67599869  0  350000  50 0.0 ON  AGGET
2 30.75  30.75  88  365000  75 0.0 AJ  AGHAJARI
2 55.26499939  55.26499939  1230  921000  80 0.0 RO  AGINSKOYE
2 28.82193375  28.82193375  171  400000  25 0.0 ZT  AGIP
2 44.13944626  44.13944626  35  381000  80 0.0 AG  AGOY
2 27.15018845  27.15018845  0  249000  75 0.0 AG  AGRA
2 39.66914749  39.66914749  5462  289000  50 0.0 ARI  AGRI
2 10.61666679  10.61666679  0  323000  50 0.0 ADA  AGUADA
2 26.59365654  26.59365654  44  268000  50 0.0 AN  AGUNI
2 52.88805389  52.88805389  0  290000  150 0.0 AHL  AHLHORN
2 23.14138985  23.14138985  0  215000  75 0.0 AH  AHMEDABAD
